STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1996-10-26,0.0,0.0,0.0,,11.7,0.6,2.2
USC00439184,1996-10-27,0.0,0.0,0.0,,13.3,0.0,0.0
USC00439184,1996-10-28,0.0,0.0,0.0,,16.1,7.8,8.9
USC00439184,1996-10-29,1.5,0.0,0.0,,12.2,1.1,1.1
USC00439184,1996-10-30,0.0,0.0,0.0,,6.1,-3.9,-1.7
USC00439184,1996-10-31,9.7,0.0,0.0,,6.7,2.8,5.6
USC00439184,1996-11-01,0.8,0.0,0.0,,8.9,-2.2,-1.1
USC00439184,1996-11-02,0.5,25.0,25.0,,5.6,-3.9,-3.9
USC00439184,1996-11-03,2.5,38.0,51.0,,2.8,-8.3,-6.7
USC00439184,1996-11-04,0.0,0.0,25.0,,-1.1,-6.7,-3.9
USC00439184,1996-11-05,0.0,0.0,0.0,,5.6,0.0,0.6
USC00439184,1996-11-06,0.3,0.0,0.0,,6.7,1.7,1.7
USC00439184,1996-11-07,0.0,0.0,0.0,,8.9,4.4,4.4
USC00439184,1996-11-08,5.1,0.0,0.0,,15.6,15.0,6.7
USC00439184,1996-11-09,14.7,0.0,0.0,,16.7,15.0,15.0
USC00439184,1996-11-10,41.7,0.0,0.0,,15.6,-1.7,-1.7
USC00439184,1996-11-11,2.3,0.0,0.0,,3.9,-3.3,-1.1
USC00439184,1996-11-12,4.6,89.0,102.0,,2.8,-3.9,-3.9
USC00439184,1996-11-13,1.5,25.0,102.0,,-1.1,-11.7,-11.7
USC00439184,1996-11-14,0.0,0.0,76.0,,-2.8,-15.0,-15.0
USC00439184,1996-11-15,0.0,0.0,76.0,,-3.9,-14.4,-14.4
USC00439184,1996-11-16,0.0,0.0,76.0,,-6.1,-17.2,-17.2
USC00439184,1996-11-17,0.0,0.0,76.0,,2.8,-6.7,-6.7
USC00439184,1996-11-18,0.0,0.0,0.0,,12.2,-3.3,-2.8
USC00439184,1996-11-19,0.0,0.0,0.0,,8.3,0.6,1.7
USC00439184,1996-11-20,6.4,76.0,76.0,,1.7,-1.7,-1.7
USC00439184,1996-11-21,0.8,30.0,102.0,,0.0,-4.4,-4.4
USC00439184,1996-11-22,1.0,25.0,127.0,,-2.8,-5.0,-3.9
USC00439184,1996-11-23,0.0,0.0,127.0,,-2.8,-7.8,-7.8
USC00439184,1996-11-24,0.8,33.0,127.0,,0.6,-17.2,-17.2
USC00439184,1996-11-25,0.0,0.0,102.0,,-7.2,-10.0,-8.3
USC00439184,1996-11-26,7.4,51.0,152.0,,-2.8,-5.0,-3.9
USC00439184,1996-11-27,8.4,76.0,178.0,,-0.6,-9.4,-9.4
USC00439184,1996-11-28,0.0,0.0,178.0,,-7.8,-18.3,-17.8
USC00439184,1996-11-29,0.0,5.0,178.0,,-6.7,-12.2,-7.8
USC00439184,1996-11-30,0.0,0.0,178.0,,-3.3,-5.6,-5.0
USC00439184,1996-12-01,0.0,0.0,152.0,,0.0,-2.8,0.0
USC00439184,1996-12-02,34.8,0.0,0.0,,9.4,5.6,6.1
USC00439184,1996-12-03,13.7,0.0,0.0,,6.1,-6.7,-6.7
USC00439184,1996-12-04,0.0,0.0,0.0,,2.8,-2.2,-2.2
USC00439184,1996-12-05,0.0,0.0,0.0,,1.1,-4.4,-3.3
USC00439184,1996-12-06,0.0,0.0,0.0,,0.0,-3.3,-1.1
USC00439184,1996-12-07,0.0,0.0,0.0,,0.0,-2.8,-2.8
USC00439184,1996-12-08,26.2,457.0,457.0,,0.0,-2.8,-2.2
USC00439184,1996-12-09,9.4,76.0,406.0,,0.6,-13.3,-11.1
USC00439184,1996-12-10,0.0,0.0,381.0,,0.0,-6.1,-5.0
USC00439184,1996-12-11,0.0,0.0,381.0,,-1.7,-6.7,-3.9
USC00439184,1996-12-12,0.0,0.0,305.0,,0.6,-6.7,-1.7
USC00439184,1996-12-13,0.0,0.0,254.0,,1.1,0.0,0.0
USC00439184,1996-12-14,0.0,0.0,254.0,,4.4,-2.8,0.0
USC00439184,1996-12-15,5.1,38.0,279.0,,2.2,-1.1,-1.1
USC00439184,1996-12-16,0.0,0.0,254.0,,2.8,-1.1,-1.1
USC00439184,1996-12-17,0.0,0.0,229.0,,0.6,-0.6,0.0
USC00439184,1996-12-18,2.8,0.0,152.0,,6.1,-1.1,-1.1
USC00439184,1996-12-19,2.8,25.0,152.0,,5.6,-0.6,-0.6
USC00439184,1996-12-20,6.6,76.0,229.0,,0.0,-7.2,-7.2
USC00439184,1996-12-21,3.0,76.0,305.0,,-6.7,-15.6,-14.4
USC00439184,1996-12-22,0.0,0.0,305.0,,-3.9,-17.8,-15.0
USC00439184,1996-12-23,2.5,25.0,279.0,,-2.8,-5.6,-5.6
USC00439184,1996-12-24,8.6,0.0,229.0,,0.6,-3.3,0.6
USC00439184,1996-12-25,11.9,25.0,178.0,,5.6,-11.1,-11.1
USC00439184,1996-12-26,0.3,8.0,178.0,,-10.0,-18.9,-18.9
USC00439184,1996-12-27,2.0,38.0,203.0,,-5.0,-7.8,-6.7
USC00439184,1996-12-28,0.0,0.0,203.0,,-2.2,-6.1,-3.9
USC00439184,1996-12-29,0.5,0.0,127.0,,1.7,-1.1,1.7
USC00439184,1996-12-30,4.3,25.0,127.0,,5.6,-7.2,-6.7
USC00439184,1996-12-31,0.0,0.0,127.0,,-6.7,-17.8,-17.8
USC00439184,1997-01-01,0.8,13.0,152.0,,-17.2,-26.1,-25.6
USC00439184,1997-01-02,0.8,13.0,152.0,,-11.1,-16.7,-12.2
USC00439184,1997-01-03,4.6,38.0,203.0,,-2.2,-7.8,-2.2
USC00439184,1997-01-04,0.8,0.0,178.0,,0.0,-3.9,-3.3
USC00439184,1997-01-05,0.0,0.0,178.0,,0.6,-2.2,0.6
USC00439184,1997-01-06,10.2,13.0,152.0,,4.4,-1.1,-1.1
USC00439184,1997-01-07,1.3,38.0,203.0,,0.0,-8.3,-7.2
USC00439184,1997-01-08,1.5,38.0,229.0,,-6.7,-17.8,-17.8
USC00439184,1997-01-09,0.0,0.0,229.0,,-12.2,-16.1,-16.1
USC00439184,1997-01-10,14.2,178.0,406.0,,-5.6,-11.1,-6.1
USC00439184,1997-01-11,5.6,127.0,483.0,,-2.8,-12.2,-11.7
USC00439184,1997-01-12,1.0,51.0,508.0,,-5.0,-12.2,-11.1
USC00439184,1997-01-13,0.8,38.0,533.0,,-7.2,-10.6,-9.4
USC00439184,1997-01-14,0.0,0.0,508.0,,-6.7,-20.6,-9.4
USC00439184,1997-01-15,0.8,38.0,508.0,,-5.0,-9.4,-6.7
USC00439184,1997-01-16,0.0,0.0,457.0,,-1.1,-6.7,-3.3
USC00439184,1997-01-17,6.9,76.0,483.0,,1.7,-23.9,-23.3
USC00439184,1997-01-18,0.0,0.0,457.0,,-17.2,-23.3,-20.6
USC00439184,1997-01-19,0.0,0.0,457.0,,-19.4,-35.6,-34.4
USC00439184,1997-01-20,0.0,0.0,457.0,,-19.4,-13.3,-13.3
USC00439184,1997-01-21,1.3,25.0,483.0,,-6.7,-13.3,-13.3
USC00439184,1997-01-22,2.3,0.0,457.0,,-5.0,-20.6,-5.6
USC00439184,1997-01-23,0.0,0.0,356.0,,6.7,1.7,4.4
USC00439184,1997-01-24,0.0,0.0,356.0,,3.9,-28.3,-28.3
USC00439184,1997-01-25,12.4,152.0,508.0,,-1.1,-11.7,-1.1
USC00439184,1997-01-26,2.8,0.0,483.0,,4.4,-16.7,-16.7
USC00439184,1997-01-27,0.0,0.0,483.0,,-15.0,-30.0,-30.0
USC00439184,1997-01-28,6.4,89.0,584.0,,-6.7,-12.2,-6.7
USC00439184,1997-01-29,4.8,64.0,635.0,,-1.7,-19.4,-16.1
USC00439184,1997-01-30,0.0,0.0,635.0,,-15.0,-30.0,-30.0
USC00439184,1997-01-31,0.0,0.0,610.0,,-8.9,-16.1,-10.6
USC00439184,1997-02-01,7.4,76.0,686.0,,-2.8,-8.3,-3.9
USC00439184,1997-02-02,0.8,0.0,660.0,,0.0,-5.6,-5.6
USC00439184,1997-02-03,0.0,0.0,660.0,,-0.6,-10.0,-6.1
USC00439184,1997-02-04,0.0,0.0,660.0,,0.6,-21.1,-21.1
USC00439184,1997-02-05,9.7,102.0,762.0,,-1.1,-6.7,-3.9
USC00439184,1997-02-06,8.1,76.0,737.0,,1.1,-5.6,-5.6
USC00439184,1997-02-07,0.0,0.0,737.0,,-1.7,-10.6,-10.6
USC00439184,1997-02-08,0.0,0.0,737.0,,-3.9,-23.3,-23.3
USC00439184,1997-02-09,0.0,0.0,737.0,,-5.6,-28.9,-23.9
USC00439184,1997-02-10,0.0,0.0,737.0,,-3.9,-18.3,-12.2
USC00439184,1997-02-11,0.0,0.0,737.0,,-3.3,-15.0,-13.9
USC00439184,1997-02-12,0.0,0.0,737.0,,-1.1,-9.4,-8.3
USC00439184,1997-02-13,2.3,64.0,787.0,,-1.1,-20.0,-20.0
USC00439184,1997-02-14,0.0,0.0,762.0,,-10.6,-25.0,-10.6
USC00439184,1997-02-15,5.6,64.0,813.0,,-2.8,-5.6,-2.8
USC00439184,1997-02-16,1.5,38.0,838.0,,0.0,-18.3,-18.3
USC00439184,1997-02-17,0.0,0.0,838.0,,-11.7,-23.3,-23.3
USC00439184,1997-02-18,0.0,0.0,838.0,,-6.7,-15.0,-7.8
USC00439184,1997-02-19,0.0,0.0,762.0,,8.9,5.0,7.2
USC00439184,1997-02-20,4.1,25.0,711.0,,8.9,-8.3,-8.3
USC00439184,1997-02-21,2.5,0.0,711.0,,1.7,-5.0,-1.1
USC00439184,1997-02-22,3.8,0.0,610.0,,8.3,4.4,7.8
USC00439184,1997-02-23,4.1,0.0,508.0,,13.9,-14.4,-14.4
USC00439184,1997-02-24,0.8,25.0,533.0,,-3.9,-12.2,-7.8
USC00439184,1997-02-25,0.5,13.0,559.0,,-5.0,-21.1,-21.1
USC00439184,1997-02-26,0.0,0.0,559.0,,-8.3,-14.4,-9.4
USC00439184,1997-02-27,3.3,0.0,508.0,,7.2,1.1,1.1
USC00439184,1997-02-28,9.7,0.0,508.0,,4.4,-4.4,-4.4
USC00439184,1997-03-01,0.0,0.0,508.0,,-0.6,-7.8,-2.2
USC00439184,1997-03-02,4.1,0.0,457.0,,1.7,0.0,1.7
USC00439184,1997-03-03,8.1,5.0,457.0,,7.2,-7.8,-7.8
USC00439184,1997-03-04,0.0,0.0,457.0,,-1.1,-8.9,-8.9
USC00439184,1997-03-05,2.5,25.0,483.0,,-1.1,-3.9,-3.9
USC00439184,1997-03-06,20.3,254.0,737.0,,1.7,-1.1,-1.1
USC00439184,1997-03-07,12.2,178.0,889.0,,1.1,-13.3,-13.3
USC00439184,1997-03-08,0.0,0.0,864.0,,-8.3,-17.8,-17.8
USC00439184,1997-03-09,3.8,25.0,864.0,,-3.3,-27.2,-27.2
USC00439184,1997-03-10,4.1,76.0,914.0,,-1.7,-11.1,-7.2
USC00439184,1997-03-11,0.0,0.0,914.0,,2.2,-7.8,-7.8
USC00439184,1997-03-12,2.5,76.0,914.0,,1.7,-15.0,-15.0
USC00439184,1997-03-13,0.0,0.0,889.0,,-3.9,-19.4,-17.8
USC00439184,1997-03-14,0.0,0.0,889.0,,-9.4,-22.8,-20.0
USC00439184,1997-03-15,12.2,127.0,940.0,,-2.8,-9.4,-3.9
USC00439184,1997-03-16,2.8,25.0,940.0,,-1.1,-12.8,-12.8
USC00439184,1997-03-17,0.0,0.0,940.0,,-8.3,-25.0,-23.9
USC00439184,1997-03-25,,,,,,-22.2,-22.2
USC00439184,1997-03-26,,,,,4.4,-3.9,1.1
USC00439184,1997-03-27,,,,,4.4,-5.0,-5.0
USC00439184,1997-03-28,,,,,8.3,-7.8,-7.2
USC00439184,1997-03-29,,,,,13.3,0.0,2.2
USC00439184,1997-03-30,,,,,12.8,1.1,1.1
USC00439184,1997-03-31,,,,,4.4,-1.1,0.0
USC00439184,1997-04-01,,,,,1.7,-7.2,-7.2
USC00439184,1997-04-02,0.0,0.0,0.0,,2.2,-7.2,-4.4
USC00439184,1997-04-03,0.0,0.0,0.0,,2.8,-8.3,-8.3
USC00439184,1997-04-04,0.0,0.0,0.0,,8.3,0.0,3.9
USC00439184,1997-04-05,0.0,0.0,0.0,,5.0,-6.1,-4.4
USC00439184,1997-04-06,,0.0,0.0,,12.2,1.7,2.8
USC00439184,1997-04-07,0.0,0.0,0.0,,10.0,2.2,5.0
USC00439184,1997-04-08,0.0,0.0,0.0,,12.2,-5.0,-4.4
USC00439184,1997-04-09,,25.0,,,-1.1,-14.4,-13.9
USC00439184,1997-04-10,0.0,0.0,,,-4.4,-11.7,-11.7
USC00439184,1997-04-11,0.0,0.0,,,-0.6,-13.3,-13.3
USC00439184,1997-04-12,0.0,0.0,,,7.2,-9.4,-8.9
USC00439184,1997-04-13,,38.0,,,5.6,-1.7,0.0
USC00439184,1997-04-14,,13.0,,,3.3,-2.2,-2.2
USC00439184,1997-04-15,0.0,0.0,,,5.0,-10.6,-10.0
USC00439184,1997-04-16,0.0,0.0,,,6.7,-6.1,-6.1
USC00439184,1997-04-17,0.0,0.0,0.0,,15.6,0.0,0.0
USC00439184,1997-04-18,0.0,0.0,0.0,,10.6,0.6,0.6
USC00439184,1997-04-19,,30.0,,,3.3,0.6,0.6
USC00439184,1997-04-20,0.0,0.0,,,8.3,-3.3,-2.8
USC00439184,1997-04-21,0.0,0.0,,,13.3,1.7,1.7
USC00439184,1997-04-22,0.0,0.0,0.0,,10.6,-2.2,-2.2
USC00439184,1997-04-23,0.0,0.0,0.0,,11.7,-2.2,-2.2
USC00439184,1997-04-24,0.0,0.0,0.0,,13.9,-1.7,-1.1
USC00439184,1997-04-25,0.0,0.0,0.0,,12.2,1.7,2.2
USC00439184,1997-04-26,0.0,0.0,0.0,,10.0,-1.1,0.6
USC00439184,1997-04-27,0.0,0.0,0.0,,12.2,-5.0,-3.3
USC00439184,1997-04-28,0.0,0.0,0.0,,16.1,2.8,0.6
USC00439184,1997-04-29,0.0,0.0,0.0,,2.8,-1.1,-0.6
USC00439184,1997-04-30,0.0,0.0,0.0,,11.1,-1.1,-0.6
USC00439184,1997-05-01,,0.0,0.0,,22.2,5.6,9.4
USC00439184,1997-05-02,,0.0,0.0,,17.8,0.6,1.1
USC00439184,1997-05-03,,0.0,0.0,,10.0,0.0,1.1
USC00439184,1997-05-04,,0.0,0.0,,7.8,3.3,3.3
USC00439184,1997-05-05,,0.0,0.0,,6.1,-4.4,-2.8
USC00439184,1997-05-06,,0.0,0.0,,14.4,6.1,7.2
USC00439184,1997-05-07,,20.0,,,8.3,-1.1,-1.1
USC00439184,1997-05-08,,0.0,,,2.2,-1.7,-1.1
USC00439184,1997-05-09,,0.0,,,11.1,-1.7,0.0
USC00439184,1997-05-10,,0.0,0.0,,4.4,2.2,2.8
USC00439184,1997-05-11,,0.0,0.0,,4.4,1.7,2.2
USC00439184,1997-05-12,,0.0,0.0,,13.3,4.4,7.2
USC00439184,1997-05-13,,0.0,0.0,,15.0,3.9,7.2
USC00439184,1997-05-14,,0.0,0.0,,14.4,1.1,1.7
USC00439184,1997-05-15,,0.0,0.0,,15.0,2.2,6.1
USC00439184,1997-05-16,,0.0,0.0,,14.4,3.3,3.3
USC00439184,1997-05-17,,0.0,0.0,,13.3,2.8,2.8
USC00439184,1997-05-18,,0.0,0.0,,9.4,2.8,3.3
USC00439184,1997-05-19,,0.0,0.0,,13.3,5.6,5.6
USC00439184,1997-05-20,,0.0,0.0,,,,
USC00439184,1997-05-21,,0.0,0.0,,,,
USC00439184,1997-05-22,,0.0,0.0,,,,
USC00439184,1997-05-23,,0.0,0.0,,6.1,3.9,3.9
USC00439184,1997-05-24,,0.0,0.0,,12.2,2.2,3.9
USC00439184,1997-05-25,,0.0,0.0,,17.2,8.9,8.9
USC00439184,1997-05-26,,0.0,0.0,,16.7,4.4,4.4
USC00439184,1997-05-27,,0.0,0.0,,9.4,-1.1,-0.6
USC00439184,1997-05-28,,0.0,0.0,,17.2,1.1,1.7
USC00439184,1997-05-29,,0.0,0.0,,21.7,3.9,3.9
USC00439184,1997-05-30,,0.0,0.0,,23.9,11.1,11.1
USC00439184,1997-05-31,,0.0,0.0,,15.6,8.9,10.0
USC00439184,1997-07-01,0.0,0.0,,,29.4,10.6,17.2
USC00439184,1997-07-02,0.0,0.0,0.0,,30.0,11.7,12.8
USC00439184,1997-07-03,1.5,0.0,0.0,,28.3,16.1,17.2
USC00439184,1997-07-04,25.4,0.0,0.0,,21.1,15.0,16.1
USC00439184,1997-07-05,2.0,0.0,0.0,,20.6,8.3,11.7
USC00439184,1997-07-06,0.0,0.0,0.0,,23.9,5.0,7.2
USC00439184,1997-07-07,0.0,0.0,0.0,,26.1,7.2,8.3
USC00439184,1997-07-08,4.6,0.0,0.0,,24.4,6.7,13.9
USC00439184,1997-07-09,4.6,0.0,0.0,,22.2,13.3,16.1
USC00439184,1997-07-10,11.9,0.0,0.0,,18.3,5.0,11.7
USC00439184,1997-07-11,0.0,0.0,0.0,,21.7,7.8,9.4
USC00439184,1997-07-12,0.0,0.0,0.0,,25.0,12.2,13.9
USC00439184,1997-07-13,0.0,0.0,0.0,,26.1,12.8,15.0
USC00439184,1997-07-14,5.8,0.0,0.0,,25.6,11.1,17.8
USC00439184,1997-07-15,90.2,0.0,0.0,,25.6,18.9,20.0
USC00439184,1997-07-16,19.1,0.0,0.0,,20.6,15.6,16.1
USC00439184,1997-07-17,0.5,0.0,0.0,,26.7,12.2,14.4
USC00439184,1997-07-18,4.6,0.0,0.0,,28.9,14.4,15.6
USC00439184,1997-07-19,4.8,0.0,0.0,,25.6,8.3,10.0
USC00439184,1997-07-20,0.8,0.0,0.0,,12.8,8.3,9.4
USC00439184,1997-07-21,0.0,0.0,0.0,,20.6,7.2,12.8
USC00439184,1997-07-22,0.0,0.0,0.0,,21.1,5.6,13.9
USC00439184,1997-07-23,0.0,0.0,0.0,,22.8,3.3,9.4
USC00439184,1997-07-24,0.0,0.0,0.0,,23.9,7.2,8.3
USC00439184,1997-07-25,0.0,0.0,0.0,,23.9,4.4,12.2
USC00439184,1997-07-26,0.0,0.0,0.0,,27.8,8.9,14.4
USC00439184,1997-07-27,0.0,0.0,0.0,,26.7,11.7,15.6
USC00439184,1997-07-28,0.5,0.0,0.0,,28.3,15.6,17.2
USC00439184,1997-07-29,4.8,0.0,0.0,,25.6,7.8,11.1
USC00439184,1997-07-30,0.0,0.0,0.0,,20.0,10.0,12.2
USC00439184,1997-07-31,0.0,0.0,0.0,,23.3,7.2,14.4
USC00439184,1997-08-01,0.0,0.0,,,25.6,9.4,14.4
USC00439184,1997-08-02,0.0,0.0,0.0,,26.1,12.2,15.6
USC00439184,1997-08-03,5.1,0.0,0.0,,25.0,15.0,18.3
USC00439184,1997-08-04,0.0,0.0,0.0,,22.2,4.4,6.7
USC00439184,1997-08-05,0.0,0.0,0.0,,23.3,10.6,13.9
USC00439184,1997-08-06,1.0,0.0,0.0,,19.4,3.9,8.3
USC00439184,1997-08-07,0.0,0.0,0.0,,22.2,2.8,3.9
USC00439184,1997-08-08,0.0,0.0,0.0,,23.9,8.3,13.3
USC00439184,1997-08-09,0.3,0.0,0.0,,27.8,12.2,14.4
USC00439184,1997-08-10,0.0,0.0,0.0,,28.3,10.6,20.0
USC00439184,1997-08-11,0.0,0.0,0.0,,29.4,12.8,11.1
USC00439184,1997-08-12,19.8,0.0,0.0,,27.2,10.0,14.4
USC00439184,1997-08-13,3.3,0.0,0.0,,23.9,9.4,13.9
USC00439184,1997-08-14,56.9,0.0,0.0,,15.6,12.8,12.8
USC00439184,1997-08-15,0.0,0.0,0.0,,20.6,8.3,9.4
USC00439184,1997-08-16,9.7,0.0,0.0,,25.0,15.6,17.2
USC00439184,1997-08-17,13.7,0.0,0.0,,28.3,18.3,18.3
USC00439184,1997-08-18,0.0,0.0,0.0,,21.1,8.3,8.3
USC00439184,1997-08-19,0.0,0.0,0.0,,19.4,8.9,8.9
USC00439184,1997-08-20,0.0,0.0,0.0,,20.6,6.1,6.1
USC00439184,1997-08-21,0.0,0.0,0.0,,23.3,12.8,12.8
USC00439184,1997-08-22,59.9,0.0,0.0,,13.3,10.6,10.6
USC00439184,1997-08-23,5.3,0.0,0.0,,21.7,11.7,11.7
USC00439184,1997-08-24,2.0,0.0,0.0,,21.1,11.7,12.2
USC00439184,1997-08-25,0.0,0.0,0.0,,21.1,8.3,8.3
USC00439184,1997-08-26,3.8,0.0,0.0,,23.3,10.0,10.0
USC00439184,1997-08-27,0.8,0.0,0.0,,22.8,11.7,11.7
USC00439184,1997-08-28,22.1,0.0,0.0,,22.2,15.6,15.6
USC00439184,1997-08-29,0.0,0.0,0.0,,23.9,10.0,10.6
USC00439184,1997-08-30,10.4,0.0,0.0,,22.8,12.8,13.9
USC00439184,1997-08-31,0.0,0.0,0.0,,22.8,8.3,8.3
USC00439184,1997-09-01,2.5,0.0,0.0,,24.4,15.6,15.6
USC00439184,1997-09-02,0.0,0.0,0.0,,24.4,11.7,12.8
USC00439184,1997-09-03,3.0,0.0,0.0,,25.6,8.9,8.9
USC00439184,1997-09-04,0.5,0.0,0.0,,11.7,5.6,5.6
USC00439184,1997-09-05,0.0,0.0,0.0,,13.9,3.9,5.0
USC00439184,1997-09-06,0.0,0.0,0.0,,21.1,7.2,7.2
USC00439184,1997-09-07,0.5,0.0,0.0,,20.6,7.2,12.2
USC00439184,1997-09-08,1.0,0.0,0.0,,22.2,7.8,7.8
USC00439184,1997-09-09,0.0,0.0,0.0,,22.2,7.8,9.4
USC00439184,1997-09-10,0.0,0.0,0.0,,21.1,7.8,7.8
USC00439184,1997-09-11,0.0,0.0,0.0,,20.0,7.8,11.1
USC00439184,1997-09-12,13.2,0.0,0.0,,19.4,11.1,14.4
USC00439184,1997-09-13,0.0,0.0,0.0,,24.4,10.0,10.6
USC00439184,1997-09-14,5.6,0.0,0.0,,22.2,10.6,13.3
USC00439184,1997-09-15,0.0,0.0,0.0,,21.1,8.9,8.9
USC00439184,1997-09-16,1.0,0.0,0.0,,22.8,8.9,10.6
USC00439184,1997-09-17,0.0,0.0,0.0,,16.7,3.9,3.9
USC00439184,1997-09-18,0.0,0.0,0.0,,19.4,3.9,12.8
USC00439184,1997-09-19,0.0,0.0,0.0,,22.2,8.3,8.3
USC00439184,1997-09-20,4.1,0.0,0.0,,22.2,8.3,13.9
USC00439184,1997-09-21,8.1,0.0,0.0,,16.7,3.9,3.9
USC00439184,1997-09-22,2.3,0.0,0.0,,8.3,-0.6,0.6
USC00439184,1997-09-23,0.0,0.0,0.0,,15.6,0.6,7.2
USC00439184,1997-09-24,5.8,0.0,0.0,,11.1,-1.7,-1.1
USC00439184,1997-09-25,0.5,0.0,0.0,,10.0,-1.7,2.8
USC00439184,1997-09-26,0.0,0.0,0.0,,14.4,2.8,5.6
USC00439184,1997-09-27,0.0,0.0,0.0,,11.1,3.3,3.3
USC00439184,1997-09-28,0.0,0.0,0.0,,17.2,2.2,2.2
USC00439184,1997-09-29,1.8,0.0,0.0,,17.8,1.7,1.7
USC00439184,1997-09-30,18.5,0.0,0.0,,14.4,1.7,7.8
USC00439184,1997-10-01,4.6,0.0,0.0,,15.6,3.3,3.3
USC00439184,1997-10-02,7.6,0.0,0.0,,4.4,0.0,1.1
USC00439184,1997-10-03,0.0,0.0,0.0,,10.6,0.0,1.7
USC00439184,1997-10-04,4.1,0.0,0.0,,8.9,0.6,6.7
USC00439184,1997-10-05,10.9,0.0,0.0,,14.4,6.1,8.9
USC00439184,1997-10-06,0.5,0.0,0.0,,20.0,8.9,10.0
USC00439184,1997-10-07,0.0,0.0,0.0,,22.2,6.1,8.9
USC00439184,1997-10-08,0.0,0.0,0.0,,18.3,-0.6,-0.6
USC00439184,1997-10-09,0.8,0.0,0.0,,20.0,-0.6,8.9
USC00439184,1997-10-10,0.0,0.0,0.0,,21.1,8.9,12.8
USC00439184,1997-10-11,0.0,0.0,0.0,,21.7,0.0,0.0
USC00439184,1997-10-12,0.0,0.0,0.0,,13.3,-2.2,-2.2
USC00439184,1997-10-13,0.0,0.0,0.0,,15.6,-2.2,3.9
USC00439184,1997-10-14,0.0,0.0,0.0,,20.0,2.2,10.0
USC00439184,1997-10-15,0.0,0.0,0.0,,15.6,8.3,8.3
USC00439184,1997-10-16,2.5,0.0,0.0,,10.6,5.6,5.6
USC00439184,1997-10-17,0.0,0.0,0.0,,11.1,-1.7,-1.7
USC00439184,1997-10-18,0.0,0.0,0.0,,9.4,-2.8,-2.8
USC00439184,1997-10-19,0.0,0.0,0.0,,12.8,-3.9,-2.2
USC00439184,1997-10-20,0.0,0.0,0.0,,14.4,-2.8,-1.1
USC00439184,1997-10-21,0.5,0.0,0.0,,13.9,-1.1,0.0
USC00439184,1997-10-22,0.0,0.0,0.0,,5.6,-3.3,-1.1
USC00439184,1997-10-23,3.0,13.0,25.0,,5.6,-7.8,-7.2
USC00439184,1997-10-24,6.4,114.0,25.0,,2.2,-7.8,-3.9
USC00439184,1997-10-25,0.0,0.0,0.0,,3.3,-5.0,-1.1
USC00439184,1997-10-26,0.0,0.0,0.0,,6.1,-6.1,-6.1
USC00439184,1997-10-27,7.9,51.0,51.0,,7.2,-1.1,-6.1
USC00439184,1997-10-28,6.6,0.0,0.0,,4.4,-6.1,0.0
USC00439184,1997-10-29,1.3,5.0,0.0,,1.1,-4.4,-3.9
USC00439184,1997-10-30,0.5,0.0,0.0,,3.3,-4.4,-1.1
USC00439184,1997-10-31,0.0,0.0,0.0,,9.4,-2.2,-2.2
USC00439184,1997-11-01,0.0,0.0,0.0,,12.8,-3.3,7.8
USC00439184,1997-11-02,9.4,0.0,0.0,,12.8,7.2,11.7
USC00439184,1997-11-03,17.0,0.0,0.0,,15.6,3.9,3.9
USC00439184,1997-11-04,1.3,0.0,0.0,,13.3,3.3,4.4
USC00439184,1997-11-05,13.7,0.0,0.0,,14.4,-0.6,-0.6
USC00439184,1997-11-06,0.0,0.0,0.0,,8.3,-1.7,0.6
USC00439184,1997-11-07,0.0,0.0,0.0,,10.0,-2.2,-1.1
USC00439184,1997-11-08,0.0,0.0,0.0,,10.6,-2.8,-2.8
USC00439184,1997-11-09,1.5,0.0,0.0,,11.7,-2.8,6.1
USC00439184,1997-11-10,21.1,0.0,0.0,,7.2,1.1,1.1
USC00439184,1997-11-11,0.0,0.0,0.0,,3.3,-1.1,-1.1
USC00439184,1997-11-12,0.0,0.0,0.0,,0.0,-7.2,-7.2
USC00439184,1997-11-13,2.3,51.0,51.0,,1.7,-9.4,-9.4
USC00439184,1997-11-14,0.0,0.0,0.0,,-2.2,-11.1,-7.8
USC00439184,1997-11-15,13.0,152.0,152.0,,-3.3,-8.3,-6.7
USC00439184,1997-11-16,4.8,76.0,229.0,,-2.8,-7.8,-6.1
USC00439184,1997-11-17,0.3,25.0,178.0,,-3.3,-12.8,-7.2
USC00439184,1997-11-18,0.0,13.0,152.0,,0.0,-9.4,-7.2
USC00439184,1997-11-19,0.0,0.0,152.0,,1.1,-11.7,-11.1
USC00439184,1997-11-20,0.0,0.0,127.0,,2.8,-12.8,-6.7
USC00439184,1997-11-21,0.0,0.0,127.0,,1.7,-8.3,0.0
USC00439184,1997-11-22,0.0,0.0,102.0,,5.6,-1.7,-1.1
USC00439184,1997-11-23,5.3,51.0,152.0,,0.0,-6.7,-5.0
USC00439184,1997-11-24,1.8,25.0,152.0,,-1.7,-5.6,-3.9
USC00439184,1997-11-25,0.8,51.0,178.0,,-1.1,-15.6,-15.0
USC00439184,1997-11-26,0.0,0.0,152.0,,0.0,-16.1,-1.1
USC00439184,1997-11-27,13.5,25.0,152.0,,4.4,-6.7,-6.7
